inspection_id,establishment_id,inspector_id,date,status
2,2,1,2024-01-02,Fail
4,4,2,2024-01-04,Fail
6,1,1,2024-01-06,Fail
8,3,3,2024-01-08,Fail
10,5,2,2024-01-10,Fail
12,2,1,2024-01-12,Fail
14,4,3,2024-01-14,Fail
16,1,2,2024-01-16,Fail
18,3,1,2024-01-18,Fail
20,5,3,2024-01-20,Fail
22,2,2,2024-01-22,Fail
24,4,1,2024-01-24,Fail
26,1,3,2024-01-26,Fail
28,3,2,2024-01-28,Fail
30,5,1,2024-01-30,Fail
32,2,3,2024-02-02,Fail
34,4,2,2024-02-04,Fail
36,1,1,2024-02-06,Fail
38,3,3,2024-02-08,Fail
40,5,2,2024-02-10,Fail
42,2,1,2024-02-12,Fail
44,4,3,2024-02-14,Fail
46,1,2,2024-02-16,Fail
48,3,1,2024-02-18,Fail
50,5,3,2024-02-20,Fail
52,2,2,2024-02-22,Fail
54,4,1,2024-02-24,Fail
56,1,3,2024-02-26,Fail
58,3,2,2024-02-28,Fail
60,5,1,2024-03-01,Fail
62,2,3,2024-03-03,Fail
64,4,2,2024-03-05,Fail
66,1,1,2024-03-07,Fail
68,3,3,2024-03-09,Fail
70,5,2,2024-03-11,Fail
